,pId,category
0,1002,4S
1,1003,19S
2,1004,12S
3,1005,44G
4,1007,31G
5,1008,41B
6,1009,55B
7,1010,48S
8,1011,4G
9,1012,24S
10,1013,3G
11,1014,43P
12,1015,15S
13,1016,22G
14,1018,11S
15,1019,4G
16,1021,17S
17,1022,2G
18,1024,4S
19,1025,11G
20,1026,15S
21,1027,31G
22,1028,19P
23,1029,43G
24,1030,53G
25,1032,51B
26,1033,42G
27,1034,11G
28,1035,1G
29,1036,32G
30,1037,39S
31,1038,47G
32,1039,1G
33,1041,30G
34,1043,28G
35,1045,14G
36,1047,33P
37,1048,19P
38,1049,30S
39,1050,3P
40,1051,11S
41,1052,41S
42,1053,19G
43,1057,31S
44,1058,10S
45,1059,31S
46,1060,5G
47,1062,47G
48,1063,2S
49,1064,4S
50,1065,11S
51,1068,49G
52,1069,6G
53,1071,33P
54,1072,4S
55,1074,53S
56,1075,4B
57,1076,2B
58,1079,11G
59,1080,33S
60,1081,4G
61,1082,19G
62,1083,15G
63,1085,4B
64,1086,43P
65,1089,32G
66,1090,11P
67,1091,2G
68,1092,15G
69,1094,4S
70,1095,39G
71,1097,3P
72,1099,19G
73,1100,51B
74,1101,33G
75,1102,43G
76,1103,9G
77,1104,7G
78,1105,30S
79,1106,19S
80,1107,11G
81,1109,24P
82,1110,55B
83,1111,55G
84,1112,55G
85,1113,36G
86,1114,20G
87,1115,14G
88,1117,55G
89,1119,10G
90,1120,51S
91,1124,22S
92,1125,30P
93,1131,44P
94,1132,33G
95,1133,53P
96,1135,60G
97,1136,19G
98,1137,19P
99,1138,2S
100,1139,43G
101,1141,3S
102,1145,11B
103,1146,48P
104,1148,51S
105,1149,19S
106,1151,12P
107,1152,51B
108,1153,22G
109,1154,10P
110,1155,19P
111,1157,51B
112,1158,57S
113,1159,51B
114,1160,23P
115,1162,44G
116,1166,20S
117,1167,49G
118,1168,21P
119,1169,33G
120,1173,2B
121,1174,47G
122,1175,1G
123,1176,43G
124,1177,4P
125,1178,14P
126,1181,3S
127,1182,47S
128,1183,62S
129,1184,17P
130,1185,14P
131,1186,15G
132,1188,39G
133,1189,47S
134,1193,55B
135,1194,1G
136,1195,11G
137,1197,14G
138,1198,31S
139,1199,9P
140,1202,5G
141,1205,2S
142,1206,31S
143,1207,47G
144,1208,20G
145,1209,19P
146,1212,32B
147,1213,51S
148,1214,31P
149,1215,39P
150,1217,14P
151,1219,14G
152,1222,39G
153,1225,32B
154,1226,19P
155,1229,48G
156,1230,19G
157,1231,19G
158,1233,11B
159,1234,48G
160,1235,51S
161,1236,2B
162,1238,58G
163,1239,11G
164,1240,49G
165,1241,50G
166,1242,4G
167,1244,2S
168,1245,24G
169,1246,15S
170,1247,4B
171,1248,47G
172,1251,54S
173,1252,41B
174,1253,40G
175,1254,3S
176,1255,58P
177,1256,48G
178,1259,51B
179,1260,24S
180,1261,58G
181,1262,2S
182,1263,15S
183,1264,51B
184,1267,4B
185,1268,2B
186,1269,26S
187,1270,26S
188,1275,21G
189,1276,54S
190,1277,58G
191,1278,53G
192,1280,21P
193,1283,51S
194,1284,41B
195,1285,67G
196,1286,52S
197,1287,32G
198,1291,50S
199,1292,55S
200,1296,51B
201,1297,4B
202,1300,20G
203,1301,19G
204,1302,61S
205,1303,24S
206,1305,3P
207,1306,21P
208,1307,6P
209,1308,2S
210,1309,19S
211,1311,43G
212,1312,4S
213,1316,51S
214,1318,11G
215,1321,21P
216,1322,4G
217,1323,39G
218,1324,19G
219,1325,24S
220,1326,1S
221,1327,64S
222,1328,48P
223,1330,41B
224,1331,2S
225,1332,11G
226,1333,2B
227,1334,7S
228,1336,19P
229,1337,54S
230,1338,4G
231,1339,33G
232,1340,51S
233,1341,55G
234,1342,11S
235,1343,33S
236,1344,48G
237,1345,4G
238,1347,2S
239,1350,4B
240,1351,17G
241,1352,33G
242,1353,4P
243,1354,26G
244,1355,24G
245,1356,32B
246,1357,51B
247,1358,12S
248,1359,38S
249,1360,2G
250,1362,2B
251,1364,4S
252,1365,20G
253,1368,14G
254,1369,48P
255,1371,51B
256,1373,7B
257,1374,5G
258,1375,29G
259,1377,15G
260,1379,5G
261,1380,2S
262,1381,15P
263,1384,2B
264,1385,36P
265,1388,24S
266,1389,1S
267,1392,2B
268,1393,31G
269,1394,45G
270,1398,19G
271,1399,39P
272,1400,58G
273,1402,4B
274,1404,38S
275,1405,66G
276,1406,13S
277,1407,4G
278,1408,41B
279,1409,31P
280,1410,43P
281,1411,51S
282,1413,48P
283,1414,14G
284,1415,22G
285,1417,57S
286,1418,31B
287,1419,4G
288,1421,11S
289,1422,15P
290,1423,19G
291,1424,55G
292,1425,20G
293,1427,3S
