,Implementation,Mathematics,GraphTheory,DynamicProgramming,String,Bruteforcing,DataStructures,Greedy,GraphTraversal,Sorting,Breadth_firstSearch,NumberTheory,Simulation,Arithmetic,Geometry,BinarySearch,Depth_firstSearch,PrefixSum,Constructive,Combinatorics,Tree,Ad_hoc,Dijkstra's,SetMapByHashing,Backtracking,Bitmask,Stack,Two_pointer,SetMapByTrees,PrimalityTest,PriorityQueue,SegmentTree,DisjointSet,Recursion,SieveOfEratosthenes,Knapsack,EuclideanAlgorithm,ProbabilityTheory,ExponentiationBySquaring,GameTheory,Floyd_warshall,DivideAndConquer,ParametricSearch,MinimumSpanningTree,TopologicalSorting,DynamicProgrammingOnTrees,ValueCoordinateCompression,SlidingWindow,Deque,Queue,LongestIncreasingSequenceInO(nLogN),Hashing,0_1Bfs,TravellingSalesmanProblem
Implementation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DynamicProgramming,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Implementation,String",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathematics,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Implementation,Simulation",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Implementation,Mathematics,Arithmetic",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Implementation,Mathematics",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mathematics,Arithmetic",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greedy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greedy,Sorting",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
