,Implementation,Mathematics,GraphTheory,DynamicProgramming,String,Bruteforcing,DataStructures,Greedy,GraphTraversal,Sorting,Breadth_firstSearch,NumberTheory,Simulation,Arithmetic,Geometry,BinarySearch,Depth_firstSearch,PrefixSum,Constructive,Combinatorics,Tree,Ad_hoc,Dijkstra's,SetMapByHashing,Backtracking,Bitmask,Stack,Two_pointer,SetMapByTrees,PrimalityTest,PriorityQueue,SegmentTree,DisjointSet,Recursion,SieveOfEratosthenes,Knapsack,EuclideanAlgorithm,ProbabilityTheory,ExponentiationBySquaring,GameTheory,Floyd_warshall,DivideAndConquer,ParametricSearch,MinimumSpanningTree,TopologicalSorting,DynamicProgrammingOnTrees,ValueCoordinateCompression,SlidingWindow,Deque,Queue,LongestIncreasingSequenceInO(nLogN),Hashing,0_1Bfs,TravellingSalesmanProblem
Implementation,3052,738,174,41,772,380,212,101,143,191,94,45,527,285,63,22,47,31,33,18,21,50,19,76,49,34,48,23,33,14,17,5,7,35,7,1,13,10,9,1,2,10,2,4,3,0,4,5,15,25,0,1,3,0
Mathematics,738,2770,60,223,179,336,56,155,42,109,23,532,73,524,168,77,15,68,77,278,32,61,2,19,24,43,9,14,12,147,11,3,4,29,100,5,92,91,87,20,0,13,11,0,0,3,4,3,0,1,1,0,0,0
GraphTheory,174,60,1399,141,46,91,162,46,897,29,535,11,53,0,37,43,361,6,40,12,124,20,246,47,37,38,7,5,13,6,16,1,73,8,5,7,2,3,7,2,78,2,8,65,63,22,6,0,1,1,0,1,20,3
DynamicProgramming,41,223,141,1332,47,57,45,64,79,45,25,32,3,0,9,25,37,58,3,77,68,6,25,13,20,78,2,9,7,10,3,13,3,7,6,94,0,36,11,29,6,4,3,0,20,60,5,9,3,1,8,0,2,8
String,772,179,46,47,1257,135,178,65,39,86,19,15,42,51,5,11,18,4,11,18,21,25,5,107,20,9,44,10,38,4,5,0,4,23,3,0,4,5,3,0,2,8,0,1,1,2,0,9,7,1,0,9,0,0
Bruteforcing,380,336,91,57,135,1179,54,59,67,57,41,94,53,47,61,20,31,41,17,25,9,8,8,29,135,49,8,10,10,21,1,1,4,20,15,3,16,15,2,0,5,4,5,3,3,0,5,4,1,0,1,3,1,2
DataStructures,212,56,162,45,178,54,1010,125,127,143,55,10,60,2,25,63,50,34,11,10,58,11,16,246,14,7,167,20,158,4,141,140,131,19,2,2,2,2,1,4,4,18,1,8,10,2,23,10,37,37,3,8,1,0
Greedy,101,155,46,64,65,59,125,920,32,285,11,17,19,13,14,34,15,20,35,6,16,22,2,10,6,15,15,25,18,5,66,6,5,3,1,6,4,6,0,8,0,4,9,2,3,5,2,2,6,4,3,0,0,1
GraphTraversal,143,42,897,79,39,67,127,32,897,22,535,10,47,0,21,30,361,4,14,6,108,10,42,38,29,28,6,3,13,5,10,1,57,8,4,5,2,2,1,1,20,2,7,9,13,20,5,0,1,1,0,1,11,2
Sorting,191,109,29,45,86,57,143,285,22,867,8,9,20,7,43,66,14,31,18,11,8,28,1,53,5,3,8,55,43,2,32,11,9,1,2,6,2,5,1,2,0,5,4,1,3,2,13,2,3,1,4,0,0,1
