문제	카테고리
1002	10000000001000000000000000000000000000000000000000000007
1003	00100000000000000000000000000000000000000000000000000008
1004	00000000001000000000000000000000000000000000000000000008
1005	00110000000000000000000000000000000000000000001000000013
1007	10000001000000000000000000000000000000000000000000000014
1008	11000000000000001000000000000000000000000000000000000002
1009	11000000000000000000000000000000000000000000000000000003
1010	10100000000000000001000000000000000000000000000000000006
1011	10000000000000000000000000000000000000000000000000000011
1012	00010000100000010010000000000000000000000000000000000009
1013	00000100000000000000000000000000000000000000000000000011
1014	00100000000000000000000100000000000000000000000000000017
1015	00000000010000000000000000000000000000000000000000000007
1016	10000000000100000000000000000000001000010000000000000015
1018	00000001000000000000000000000000000000000000000000000006
1019	10000000000000000000000000000000000000000000000000000015
1021	00001000000000000000000000000000000000000000000001000007
1022	01000000000000000000000000000000000000000000000000000012
1024	10000000000000000000000000000000000000000000000000000009
1025	00000001000000000000000000000000000000000000000000000011
1026	10000010010000000000000000000000000000000000000000000007
1027	10000001001000000000000000000000000000000000000000000012
1028	00100000000000000000000000000000000000000000000000000016
1029	00100000000000000000000100000000000000000000000000000015
1030	00000000000000000000000000010000000001000000000000000013
1032	01000100000000000000000000000000000000000000000000000005
1033	10010000100100000000000000000000000000000001000000000014
1034	00000001000000000000100000000000000000000000000000000011
1035	00010001100000010000000100000000000000000000000000000015
1036	11000110000000000000000000000000000000000000000000000015
1037	10000000000100000000000000000000000000000000000000000006
1038	00000001000000000000000001000000000000000000000000000011
1039	00010000100000010000000000000000000000000000000000000013
1041	10000010000000000000000000000000000000000000000000000011
1043	00011000100000000000000000100000000000000000000000000012
1045	00010010000000000000000000000000000000000010000000000015
1047	00000011000000000000000000000000000000000000000000000016
1048	00100000000000000000010000000000000000000000000000000017
1049	10000010000000000000000000000000000000000000000000000007
1050	00010100000000000000000000000000000000000000000000000016
1051	01000001000000000000000000000000000000000000000000000008
1052	11000010000000000100000100000000000000000000000000000010
1053	00100000000000000000000000000000000000000000000000000014
1057	10000001000000000000000000000000000000000000000000000008
1058	00010001100000000000000000000000000000000000000100000009
1059	10000001010000000000000000000000000000000000000000000006
1060	10001000010000000000000000000010000000000000000000000014
1062	00000001000000000000000101000000000000000000000000000012
1063	01000000000000000100000000000000000000000000000000000007
1064	10000000001000000000000000000000000000000000000000000006
1065	00000001000000000000000000000000000000000000000000000007
1068	00010000100010000010000000000000000000000000000000000011
1069	00000000001000000000100000000000000000000000000000000014
1071	00000010000000000000000000000000000000000000000000000016
1072	10000000000000100000000000000000000000000000000000000008
1074	00000000000000000000000000010000000001000000000000000010
1075	10000000000000000000000000000000000000000000000000000004
1076	01000000000000000000000000000000000000000000000000000004
1079	00000001000000000000000000000000000000000000000000000014
1080	00000010000000000000000000000000000000000000000000000010
1081	10000000000000000000000000000000000000000000000000000014
1082	00100010000000000000000000000000000000000000000000000012
1083	00000010010000000000000000000000000000000000000000000012
1085	10000000001000000000000000000000000000000000000000000003
1086	00100000000000000000000100000000000000000000000000000016
1089	11000100000000000000000000000000000000001000000000000011
1090	00000001000000000000000000000000000000000000000000000017
1091	01000000000000000100000000000000000000000000000000000011
1092	00000010010000000000000000000000000000000000000000000011
1094	10000000000000000000000100000000000000000000000000000006
1095	10000000000100000000000000000000000000000000000000000015
1097	00000101000000000000000000000000000000000000000000000016
1099	00100000000000000000000000000000000000000000000000000013
1100	01000100000000000000000000000000000000000000000000000004
1101	00000011000000000000000000000000000000000000000000000012
1102	00100000000000000000000100000000000000000000000000000015
1103	00110000100000000010000000000000000000000000000000000014
1104	10000100000000000000000000000000000000000000000000000015
1105	10000010000000000000000000000000000000000000000000000010
1106	00100000000000000000000000000000000000000100000000000010
1107	00000001000000000000000000000000000000000000000000000011
1109	00010000100000010010000000000000000000000000000000000017
1110	11000000000000000000000000000000000000000000000000000005
1111	11000001000000000000000000000000000000000000000000000014
1112	11000000000100000000000000000000000000000000000000000015
1113	01010000100000010100000000000000000000000000000000000015
1114	00000010000000100000000000000000000000100000000000000015
1115	00010000000000000000000000000000000000000000000000000015
1117	11000000000000000000000000000000000000000000000000000011
1119	00010000100000000000000000000000000000000000000000000015
1120	01000101000000000000000000000000000000000000000000000007
1124	10000000000100000000000000000000001000010000000000000008
1125	10000010000000000000000000000000000000000000000000000016
1131	00110000100000000000000000000000000000000000000000000016
1132	00000010000000000000000000000000000000000000000000000013
1133	00000000000000000000000001000000000001000000000000000016
1135	00100010010010000000000000000000100000000000000000000015
1136	00100000000000000000000000000000000000000000000000000015
1137	00100000000000000000000000000000000000000000000000000017
1138	01000000000000000000000000000000000000000000000000000009
1139	00100000000000000000000100000000000000000000000000000015
1141	00000100010000000000000000000000000000000000000000000009
1145	00000001000000000000000000000000000000000000000000000005
1146	10100000000000000000000000000000000000000000000000000016
1148	01000100000000000000000000000000000000000000000000000010
1149	00100000000000000000000000000000000000000000000000000010
1151	00000000001000000000000000000000000000000000000000000017
1152	01000100000000000000000000000000000000000000000000000004
1153	10000000000100000000000000000000001000010000000000000012
1154	00010000100000000000000000000000000000000000000000000016
1155	00100000000000000000000000000000000000000000000000000016
1157	01000100000000000000000000000000000000000000000000000005
1158	00001000000000000000000000000000000000000000000000010007
1159	01000100000000000000000000000000000000000000000000000004
1160	10000000000000000000000000000000000010000000000000000016
1162	00110000000000000000000010000000000000000000000000000015
1166	00000000000000100000000000000000000000000000000000000008
1167	00010000100010000010000000000000000000000000000000000013
1168	00001000000001000000000000000000000000000000000000000017
1169	00000010001000000000000000000000000000000000000000000015
1173	01000000000000000100000000000000000000000000000000000004
1174	00000001000000000000000001000000000000000000000000000011
1175	00010000100000010000000000000000000000000000000000000015
1176	00100000000000000000000100000000000000000000000000000015
1177	10000000001000000000000000000000000000000000000000000016
1178	00010000000000000000000000000000000000000000000000000016
1181	00000100010000000000000000000000000000000000000000000006
1182	00000001000000000000000001000000000000000000000000000009
1183	10000000010000000000000000000000000000000000000000000007
1184	00101001000000000000010000001000000000000000000000000016
1185	00010000000000000000000000000000000000000010000000000017
1186	00000010011000000000000000000000000000000000000000000012
1188	10000000000100000000000000000000000000000000000000000011
1189	00000001000000000000000001000000000000000000000000000010
1193	11000000000000000000000000000000000000000000000000000005
1194	00010000100000010000000100000000000000000000000000000015
1195	01000001000000000000000000000000000000000000000000000011
1197	00010000000000000000000000000000000000000010000000000012
1198	10000001001000000000000000000000000000000000000000000008
1199	00010000100000000010000000000000000000000000000000000016
1202	00001010010000000000000000000010000000000000000000000014
1205	01000000000000000000000000000000000000000000000000000007
1206	10000001000000000000000000000000000000000000000000000009
1207	01000001000000000000000001000000000000000000000000000014
1208	00000000000000100000000000000000000000000000000000000015
1209	00100000000000000000000000000000000000000000000000000016
1212	11000100000000000000000000000000000000000000000000000003
1213	01000110000000000000000000000000000000000000000000000007
1214	10000001000100000000000000000000000000000000000000000016
1215	10000000000100000000000000000000000000000000000000000017
1217	00010000000000000000000000000000000000000000000000000017
1219	00010000000000000000000000000000000000000000000000000015
1222	10000000000100000000000000000000000000000000000000000014
1225	11000100000000000000000000000000000000000000000000000004
1226	00100010000000000000000000000000000000000100000000000017
1229	10100000000000000000000000000000000000000000000000000012
1230	00100000000000000000000000000000000000000000000000000015
1231	00100000000000000000000000000000000000000100000000000015
1233	01000001000000000000000000000000000000000000000000000004
1234	10100000000000000001000000000000000000000000000000000015
1235	01000100000000000000000000000000000000000000000000000007
1236	01000000000000000000000000000000000000000000000000000005
1238	00010000000000000000000010000000000000000000000000000013
1239	00000001000000000000000000000000000000000000000000000011
1240	00010000100010010010000000000000000000000000000000000011
1241	10000000000100000000000000000000001000000000000000000011
1242	10000000000000000000000000000000000000000000000000000014
1244	01000000000000000100000000000000000000000000000000000008
1245	00010000100000010010000000000000000000000000000000000011
1246	00000010010000000000000000000000000000000000000000000007
1247	10000000000000001000000000000000000000000000000000000003
1248	00000001000000000000000001000000000000000000000000000013
1251	01000101010000000000000000000000000000000000000000000006
1252	11000000000000001000000000000000000000000000000000000004
1253	00001000010000100000000000001000010000000000000000000012
1254	00000101000000000000000000000000000000000000000000000010
1255	00010000000000000000000010000000000000000000000000000017
1256	10100000000000000001000000000000000000000000000000000013
1259	01000100000000000000000000000000000000000000000000000005
1260	00010000100000010010000000000000000000000000000000000009
1261	00010000000000000000000010000000000000000000000000001012
1262	01000000000000000000000000000000000000000000000000000009
1263	00000010010000000000000000000000000000000000000000000010
1264	01000100000000000000000000000000000000000000000000000004
1267	10000000000000001000000000000000000000000000000000000003
1268	01000000000000000000000000000000000000000000000000000005
1269	00001000000000000000000000001100000000000000000000000008
1270	01001000000000000000000000001100000000000000000000000008
1275	00001000000001000000000000000000000000000000000000000015
1276	01000000010000000000000000000000000000000000000000000010
1277	00010000000000000000000010000000000000000000000000000012
1278	10000000000000000000001000000000000001000000000000000013
1280	00001000000001000000000000000000000000000000000000000017
1283	01000100000000000000000000000000000000000000000000000009
1284	11000000000000001000000000000000000000000000000000000003
1285	00000011000000000000000100000000000000000000000000000015
1286	10000000000000000001000000000000000000000000000000000010
1287	11000100000000000000000000000000000000000000000000000015
1291	11000000000100000000000000000000001000000000000000000008
1292	11000000000000000000000000000000000000000000000000000006
1296	01000100000000000000000000000000000000000000000000000005
1297	10000000001000000000000000000000000000000000000000000002
1300	00000000000000100000000000000000000000100000000000000014
1301	00100000000000000000000000000000000000000000000000000012
1302	00001100010000000000000000001000000000000000000000000007
1303	00010000100000010010000000000000000000000000000000000010
1305	00000100000000000000000000000000000000000000000000000017
1306	00001000000001000000000000000000000000000000000010000016
1307	01000000000000000000100000000000000000000000000000000017
1308	01000000000000000000000000000000000000000000000000000006
1309	00100000000000000000000000000000000000000000000000000010
1311	00100000000000000000000100000000000000000000000000000015
1312	10000000000000000000000000000000000000000000000000000006
1316	01000100000000000000000000000000000000000000000000000006
1318	01000001000000000000000000000000000000000000000000000013
1321	00001000000001100000000000000000000000000000000000000017
1322	10000000000000000000000100000000000000000000000000000012
1323	10000000000100000000000000000000000000000000000000000011
1324	00100000000000000000000000000000000000000000000000000014
1325	00010000100000010010000000000000000000000000000000000010
1326	00010000100000010000000000000000000000000000000000000009
1327	00011000100000010000000000000100000000000000000000000010
1328	10100000000000000001000000000000000000000000000000000016
1330	11000000000000001000000000000000000000000000000000000002
1331	01000000000000000100000000000000000000000000000000000006
1332	00000001000000000000000000000000000000000000000000000013
1333	01000000000000000100000000000000000000000000000000000004
1334	10000100000000000000000000000000000000000000000000000009
1336	00100000000000000000010000000000000000000000000000000017
1337	01000000010000000000000000000000010000000000000000000007
1338	10000000000000000000000000000000000000000000000000000012
1339	00000011000000000000000000000000000000000000000000000012
1340	01000100000000000000000000000000000000000000000000000006
1341	11000000000000000000000000000000000000000000000000000013
1342	00000001000000000000000000000000000000000000000000000010
1343	00000010000000000000000000000000000000000000000000000006
1344	10100000000000000001000000000000000000001000000000000012
1345	10000000000000000000000000000000000000100000000000000014
1347	01000000000000000100000000000000000000000000000000000007
1350	10000000000000001000000000000000000000000000000000000004
1351	00101000000000000000000000001000000000000000000000000011
1352	00000010000000000000000001000000000000000000000000000015
1353	10000000000000000000000000000000000000000000000000000016
1354	00101000000000000000000000001100000000000000000000000012
1355	11010000100000010010000000000000000000000000000000000015
1356	11000100000000001000000000000000000000000000000000000005
1357	01000100000000000000000000000000000000000000000000000005
1358	00000000001000000000000000000000000000000000000000000007
1359	10000001000000000001000000000000000000001000000000000007
1360	01000000000000000000000000000000000000000000000000000011
1362	01000000000000000000000000000000000000000000000000000004
1364	10000000000000000000000000000000000000000000000000000010
1365	00000000000000100000000000000000000000000000000000100014
1368	00010000000000000000000000000000000000000010000000000014
1369	10100010000000000000000000000000000000000000000000000016
1371	01000100000000000000000000000000000000000000000000000004
1373	10000100000000000000000000000000000000000000000000000004
1374	00001010010000000000000000000010000000000000000000000011
1375	00011000100000000010000000001000000000000000001000000014
1377	00000000010000000000000000000000000000000000000000000014
1379	00001010010000000000000000000010000000000000000000000013
1380	01000000000000000000000000000000000000000000000000000006
1381	00000000010000000000000000000000000000000000000000000017
1384	01000000000000000000000000000000000000000000000000000005
1385	01010000100000010000000000000000000000000000000000000016
1388	00010000100000010010000000000000000000000000000000000007
1389	00010000100000010000000000000000000000000000000100000010
1392	01000000000000000000000000000000000000000000000000000004
1393	10000001000000000000000000000000000000000000000000000011
1394	10001100000000000001000000001000000000000000000000000011
1398	00100010000000000000000000000000000000000000000000000015
1399	10000000000100000000100000000000000000000000000000000016
1400	01010000000000000000000010000000000000000000000000000014
1402	10000000000000000000001000000000000000000000000000000005
1404	11000001000000000000000000000000000000001000000000000008
1405	10010001100000000010000001000000000000000000000000000011
1406	00001000000000000000000000000001000000000000000000000008
1407	10000000000000000000000000000000000000000000000000000012
1408	11000000000000001000000000000000000000000000000000000004
1409	10000001000000000000000000000000000000000000000000000016
1410	00100000000000000000000100000000000000000000000000000017
1411	01000101000000000000000000000000000000000000000000000009
1413	10100000000000000001000000000000000000000000000000000017
1414	00010100000000000000000000000000000000000010000000000013
1415	10100000000100000000000000000000001000010100000000000014
1417	01001010000000000100000000000010000000000000000000000006
1418	10000001000100000000000000000000000000000000000000000005
1419	10000000000000000000100000000000000000000000000000000011
1421	01000001000000000000000000000000000000000000000000000009
1422	00000010010000000000000000000000000000000000000000000016
1423	00100000000000000000000000000000000000000000000000000013
1424	11000000000000100000000000000000000000000000000000000014
1425	00000000000000100000000000000000000000000000000000000014
1427	00000100010000000000000000000000000000000000000000000006
1430	00010000101000010000000000000000000000000000000000000012
1431	00000000010000000000000000000000000000000000000000000008
1432	00011000000000000000000000000000000000000000001000000017
1434	10000000000000001000000000000000000000000000000000000004
1436	00000001000000000000000000000000000000000000000000000006
1437	10000010000000000000000000000000000000000000000000000012
1438	00000000001000000000010000000000010000000000000000000014
1439	00000110000000000000000000000000000000000000000000000006
1440	00000001000000000000000000000000000000000000000000000004
1441	10000000000100000000000000000000000000000001000000000016
1443	00000001000000000000000001000000000000000000000000000015
1445	00011000000000000000000010000010000000000000000000000014
1446	00110000000000000000000010000000000000000000000000000010
1448	10000010010000000000000000000000000000000000000000000008
1449	00000010010000000000000000000000000000000000000000000008
1450	00000000000000100000000000000000000000000000000000000015
1451	00000001000000000000010000000000000000000000000000000011
1453	01000000000000000000000000000000000000000000000000000004
1455	00000010000000000000000000000000000000000000000000000009
1456	10000000000100000000000000000000001000010000000000000010
1457	10000000000000000000000000000000000000000000000000000015
1459	10000000000000000000000000000000000000000000000000000006
1461	00000010010000000000000000000000000000000000000000000011
1462	00100000000000000000000000000000000000000000000000000017
1463	00100000000000000000000000000000000000000000000000000008
1464	00001110000000000000000000000000000000000000000001000011
1469	00000001000000000000000001000000000000000000000000000012
1471	00110000100000000010000000000000000000000000000000000016
1473	00010000100000010000000100000000000000000000000000000016
1474	00000111000000000000000001000000000000000000000000000010
1475	01000000000000000000000000000000000000000000000000000006
1476	10000001000100000000000000000000000000000000000000000006
1477	00000000000000100000000000000000000000100000000000000012
1480	00100000000000000000000100000000000000000000000000000015
1481	00000000000000000000000001000000000000000000000000000012
1484	10000000000100000000000000000000010000000000000000000012
1485	00000000001000000000000000000000000000000000000000000007
1486	00010000000000000000000010000000000000000000000100000015
1487	00000001000000000000000000000000000000000000000000000007
1488	00000000000000000000100000000000000000000000000000000012
1489	00100010000000000000000000000000000000000000000000000016
1490	10000001000000000000000000000000000000000000000000000011
1491	01000000000000000100000000000000000000000000000000000008
1493	10000010000000000000000000010000000000000000000000000012
1495	00100000000000000000000000000000000000000000000000000010
1497	10000001000000000001000100000000000000000000000000000010
1498	00000100000000000000000000000000000000000000000000000017
1500	10000000000000000000000000000000000000000000000000000010
1501	00001100000000000000000000001100000000000000000000000011
1502	11000000000000000000001001000000000000000000000000000017
1503	00000001000000000000000000000000000000000000000000000008
1504	00010000000000000000000010000000000000000000000000000012
1506	00010000000000000000000000000000000000000000000000000016
1507	00010000000000000000000000000000000000000000000100000013
1508	00000000000000100000000000000000000000000000000000000014
1509	00100000000000000000000000000000000000000000000000000015
1510	10000001000000000001000000000000000000000000000000000014
1511	00000010000000000000100000000000000000000000000000000016
1512	00000101000000000000000000000000000000000000000000000011
1513	00100000000000000000000000000000000000000000000000000014
1515	01000100000000000000000000000000000000000000000000000007
1516	00110000000000000000000000000000000000000000001000000013
1517	00001000010001000000000000010000000000000000000000000016
1519	00100000000000000000000000000000000100000000000000000013
1520	00110000100000000010000000000000000000000000000000000012
1521	10100000000000000000000000000000000000000000000000000017
1522	00000101000000000000000000000000000000000000000010000010
1524	01000000000000000100000000000000000000000000000000000005
1525	00011000100000010000000000000000000000000000000000000014
1526	11000001000000000000000000000000000000000000000000000005
1527	00000001000000000000000000000000000000000000000000000010
1528	00110000100000010000000000000000000000000000000000000012
1529	10100000000000000000000000000000000010000000000000000016
1531	01000000000000000100000000000000000000000000000000000006
1535	00100001000000000000000000000000000000000100000000000009
1539	00001000000010000000000000000100000000000000000000000016
1540	10000000000000000000000000000000000000000000000000000012
1541	10000110000000000000000000000000000000000000000000000009
1543	00000111000000000000000000000000000000000000000000000007
1544	01001101000000000000000000001000000000000000000000000007
1545	00000010000000000000001000000000000000000000000000000013
1546	10000000000000001000000000000000000000000000000000000005
1547	01000000000000000100000000000000000000000000000000000003
1548	00000011010000000000000000000000000000000000000000000011
1549	00001000000000000000010000000100000000000000000000000012
1551	11000000000000000100000000000000000000000000000000000004
1553	01000000000000000000000001000000000000000000000000000010
1555	10100001000100000000000000000000001000000000000000000017
1559	00010000100000010000000100000000000000000000000000000016
1560	00000000000000000000100000000000000000000000000000000008
1561	00000000000000100000000000000000000000100000000000000014
1562	00100000000000000000000100000000000000000000000000000015
1563	00100000000000000000000000000000000000000000000000000012
1564	10000000000100000000000000000000000000000000000000000009
1565	10000000000000000000000000000000000000000000000000000013
1566	01000001000000000000000001000000000000000000000000000013
1568	11000000000000000000000000000000000000000000000000000004
1569	01000000000000000000000000000000000000000000000000000008
1572	00001000000001100000000000000000000000000000000000000016
1577	00100000000000000000000000000000000000000000000000000012
1580	01010000100000010000000000000000000000000000000000000013
1581	00000001000000000000000000000000000000000000000000000012
1582	01100000000000000000000000000000000000000100000000000017
1584	00010000100000000000000010000000000000000000000000001011
1587	00110000000000000000000000000000000000000000000000000015
1588	00000000000000000000000000010000000001000000000000000015
1590	10000001000000000000000000000000000000000000000000000007
1592	01000000000000000100000000000000000000000000000000000004
1593	00000100000000000000000000000000000000000000000010000012
1595	00010001100010000010000000000000000000000000000000000013
1598	10000000000000001000000000000000000000000000000000000003
1599	00000100010000000000000000000000000000000000000000000011
1600	00010000100000010000000000000000000000000000000000000012
1601	00010000100000010000100001000000000000000000000000000015
1602	00010000000000000000000000000000000000000000000100000017
1604	00000000001000000000000000000000000000000000000000000017
1606	10000000000000000000100000000000000000000000000000000007
1607	10100000000000000000000000000000000000000000000000000015
1612	10000000000100000000000000000000000000000000000000000010
1613	00010000000000000000000000000000000000000000000100000013
1614	10000000000000000000000000000000000000000000000000000009
1615	00001000000001000000000000000000000000000000000000000016
1620	00001000000000000000000000001000000000000000000000000007
1621	00100000000000000000000000000000000000000000000000000013
1622	00000100010000000000000000000000000000000000000000000007
1623	00100000000010000000000000000000100000000000000000000015
1629	10000000000000000000000000000000000010000000000000000010
1630	10000000000100000000000000000000001000010000000000000012
1631	11000000000000000001000000000000000001000000000000000011
1633	00100000000000000000000000000000000000000000000000000010
1635	00000000000000000000100000000000000000000000000000000015
1636	00000010000000000000100000000000000000000000000000000010
1637	00000000000000100000000000000000000000100000000000000016
1639	00000001000000000000000000000000000000000000000000000008
1640	00000000000000000000100000000000000000000000000000000011
1643	11000000000000000000000000000000000000001000000000000009
1644	10000000000100000000000000000000011000010000000000000013
1645	01000000010000000000000000000000000000000000000000000006
1646	00000000000010000000000000000000000001000000000000000016
1647	00010000000000000000000000000000000000000010000000000012
1649	00110000000000000000000000000000000000000000001000000017
1652	01000100000000000000000000000000000000000000000000000005
1653	01000001000000000000000100000000000000000000000000000017
1654	00000000000000100000000000000000000000100000000000000008
1655	00001000000000000000000000000010000000000000000000000014
1660	00100000000000000000000000000000000000000000000000000009
1661	00000001010000000000000000000000000000000000000000000014
1662	00001000000000000000000000000001000001000000000000000011
1663	00100000000000000000000000000000000000000000000000000015
1664	01100001000000000000000000000000000000000000000000000013
1667	00001000000000000000000000000100000000000000000000000017
1668	01000000000000000000000000000000000000000000000000000004
1669	10000000000000000000000000000000000000000000000000000010
1670	10100000000000000001000000000000000000000000000000000013
1672	01000100000000000100000000000000000000000000000000000004
1673	11000000000000000000000000000000000000000000000000000004
1676	10000000000000000000000000000000000000000000000000000007
1677	00100000000000000000000000000000000000000000000000000015
1679	00110000100000010000000000000000000000000000000000000010
1680	01000000000000000100000000000000000000000000000000000007
1681	01000001000000000000000000000000000000000000000000000004
1684	10000000000100000000000000000000000000000001000000000011
