,name
0,"DataStructures,DisjointSet,Sorting,Geometry,Greedy"
1,"GraphTheory,GraphTraversal,Breadth_firstSearch,Dijkstra's,Bitmask"
2,"Implementation,Simulation,Bruteforcing,String,Backtracking"
3,"String,Sorting,Bruteforcing,Ad_hoc,BinarySearch"
4,"Mathematics,BinarySearch,Geometry,Arithmetic,Ad_hoc"
5,"DataStructures,PriorityQueue,Greedy,Sorting,Mathematics"
6,"Ad_hoc,Implementation,Sorting,Mathematics,Two_pointer"
7,"Mathematics,String,Bruteforcing,Arithmetic,Combinatorics"
8,"GraphTheory,DataStructures,SetMapByHashing,Implementation,GraphTraversal"
9,"GraphTheory,GraphTraversal,Depth_firstSearch,DynamicProgramming,Greedy"
10,"GraphTheory,GraphTraversal,Bruteforcing,Implementation,BinarySearch"
11,"Bruteforcing,DynamicProgramming,Geometry,Implementation,PrefixSum"
12,"GameTheory,Greedy,Geometry,DynamicProgramming,Mathematics"
13,"DataStructures,Stack,Greedy,Mathematics,Tree"
14,"GraphTheory,MinimumSpanningTree,TopologicalSorting,Floyd_warshall,Bruteforcing"
15,"Sorting,Greedy,Mathematics,String,Two_pointer"
16,"PrefixSum,Two_pointer,Implementation,Sorting,Geometry"
17,"DataStructures,SetMapByHashing,Bruteforcing,DynamicProgramming,Implementation"
18,"DataStructures,Stack,String,Implementation,Recursion"
19,"DynamicProgramming,Knapsack,Sorting,PrefixSum,Greedy"
20,"BinarySearch,PrefixSum,DynamicProgramming,ParametricSearch,Two_pointer"
21,"DataStructures,SegmentTree,ValueCoordinateCompression,DynamicProgramming,DivideAndConquer"
22,"Mathematics,NumberTheory,PrimalityTest,SieveOfEratosthenes,Bruteforcing"
23,"Mathematics,ExponentiationBySquaring,NumberTheory,DynamicProgramming,Implementation"
24,"GraphTheory,GraphTraversal,Breadth_firstSearch,Depth_firstSearch,Implementation"
25,"Mathematics,NumberTheory,BinarySearch,EuclideanAlgorithm,PrimalityTest"
26,"DataStructures,SetMapByTrees,SetMapByHashing,Greedy,DynamicProgramming"
27,"Implementation,Mathematics,NumberTheory,Bruteforcing,EuclideanAlgorithm"
28,"GraphTheory,DataStructures,DisjointSet,GraphTraversal,Tree"
29,"GraphTheory,DataStructures,GraphTraversal,SetMapByHashing,Depth_firstSearch"
30,"Mathematics,Greedy,Bitmask,String,Constructive"
31,"Mathematics,Bruteforcing,NumberTheory,Geometry,Sorting"
32,"Implementation,Mathematics,String,Arithmetic,ProbabilityTheory"
33,"Greedy,DataStructures,String,Bruteforcing,Implementation"
34,"GraphTheory,DynamicProgramming,GraphTraversal,Tree,DynamicProgrammingOnTrees"
35,"GraphTheory,DataStructures,GraphTraversal,Depth_firstSearch,DisjointSet"
36,"Implementation,GraphTheory,GraphTraversal,Breadth_firstSearch,Simulation"
37,"Tree,Mathematics,DataStructures,Constructive,Recursion"
38,"Mathematics,Bruteforcing,Combinatorics,ProbabilityTheory,Implementation"
39,"Mathematics,NumberTheory,Constructive,PrefixSum,Combinatorics"
40,"DataStructures,Sorting,SetMapByTrees,SetMapByHashing,BinarySearch"
41,"Implementation,Mathematics,Arithmetic,Simulation,Greedy"
42,"Mathematics,GraphTheory,GraphTraversal,Breadth_firstSearch,NumberTheory"
43,"DynamicProgramming,Bitmask,Greedy,TravellingSalesmanProblem,Backtracking"
44,"GraphTheory,DynamicProgramming,Dijkstra's,TopologicalSorting,GraphTraversal"
45,"Mathematics,DataStructures,SetMapByHashing,SetMapByTrees,Combinatorics"
46,"Sorting,Two_pointer,Geometry,Bruteforcing,BinarySearch"
47,"Backtracking,Bruteforcing,Bitmask,DynamicProgramming,String"
48,"Mathematics,DynamicProgramming,Combinatorics,ProbabilityTheory,NumberTheory"
49,"GraphTheory,GraphTraversal,Tree,Depth_firstSearch,DataStructures"
50,"Mathematics,NumberTheory,PrimalityTest,Bruteforcing,DynamicProgramming"
51,"Implementation,String,Ad_hoc,Bruteforcing,Greedy"
52,"Mathematics,Combinatorics,String,Sorting,ProbabilityTheory"
53,"Recursion,DivideAndConquer,Mathematics,Implementation,Constructive"
54,"Implementation,Sorting,String,Bruteforcing,Simulation"
55,"Implementation,Mathematics,Bruteforcing,Sorting,Geometry"
56,"Constructive,Ad_hoc,GraphTheory,Backtracking,Implementation"
57,"DataStructures,Implementation,Simulation,Queue,PriorityQueue"
58,"GraphTheory,Dijkstra's,Implementation,Floyd_warshall,0_1Bfs"
59,"GraphTheory,DataStructures,PriorityQueue,GraphTraversal,Dijkstra's"
60,"DynamicProgramming,Tree,DynamicProgrammingOnTrees,DataStructures,Greedy"
61,"String,DataStructures,SetMapByHashing,Implementation,SetMapByTrees"
62,"Mathematics,Sorting,BinarySearch,Geometry,PrefixSum"
63,"SlidingWindow,String,Two_pointer,PrefixSum,DataStructures"
64,"GraphTheory,DataStructures,GraphTraversal,Breadth_firstSearch,SetMapByTrees"
65,"Mathematics,NumberTheory,EuclideanAlgorithm,Implementation,Recursion"
66,"GraphTheory,GraphTraversal,Backtracking,Depth_firstSearch,Bruteforcing"
67,"Bitmask,Bruteforcing,Implementation,Constructive,Mathematics"
68,"GraphTheory,String,GraphTraversal,Breadth_firstSearch,Implementation"
69,"Bruteforcing,DataStructures,SetMapByTrees,Backtracking,Implementation"
