,tag
Implementation,2
DynamicProgramming,19
"Implementation,String",51
Mathematics,4
"Implementation,Simulation",2
"Implementation,Mathematics,Arithmetic",41
"Implementation,Mathematics",55
"Mathematics,Arithmetic",4
Greedy,33
"Greedy,Sorting",15
"GraphTheory,GraphTraversal,Breadth_firstSearch",1
Bruteforcing,11
"Implementation,Bruteforcing",11
"Mathematics,NumberTheory",39
"GraphTheory,Dijkstra's",58
String,3
Geometry,12
"Mathematics,Geometry",4
"Mathematics,Bruteforcing",31
"GraphTheory,GraphTraversal,Breadth_firstSearch,Depth_firstSearch",24
"Mathematics,Combinatorics",52
Sorting,15
"Implementation,Sorting",54
"DynamicProgramming,Knapsack",19
"DataStructures,SegmentTree",21
"Bruteforcing,Backtracking",47
"Mathematics,DynamicProgramming,Combinatorics",48
"Mathematics,Greedy",30
GraphTheory,14
"Mathematics,NumberTheory,PrimalityTest,SieveOfEratosthenes",22
BinarySearch,20
Constructive,56
PrefixSum,16
"DynamicProgramming,Bitmask",43
"Mathematics,DynamicProgramming",48
"Mathematics,NumberTheory,EuclideanAlgorithm",65
Ad_hoc,6
"DataStructures,Stack",13
"GraphTheory,MinimumSpanningTree",14
"Implementation,String,Bruteforcing",51
"Mathematics,Bruteforcing,NumberTheory",31
"Implementation,Mathematics,String",32
"String,Bruteforcing",3
"Implementation,Greedy",33
"Bruteforcing,Geometry",11
"GraphTheory,GraphTraversal,Depth_firstSearch",9
"Implementation,Mathematics,Simulation",41
"BinarySearch,ParametricSearch",20
"Mathematics,ExponentiationBySquaring",23
"Implementation,Mathematics,Bruteforcing",55
"GraphTheory,GraphTraversal",10
Backtracking,47
"Implementation,Mathematics,String,Arithmetic",32
"DynamicProgramming,Tree,DynamicProgrammingOnTrees",60
"DataStructures,DisjointSet",0
"GraphTheory,Floyd_warshall",14
"DynamicProgramming,String",19
"Implementation,Bruteforcing,Simulation",2
"DynamicProgramming,PrefixSum",19
"DataStructures,Greedy,PriorityQueue",5
"Implementation,String,Simulation",2
"Implementation,GraphTheory,GraphTraversal,Breadth_firstSearch",36
"Mathematics,DynamicProgramming,ProbabilityTheory",48
"Mathematics,BinarySearch",4
Two_pointer,12
"DynamicProgramming,Greedy",19
"Mathematics,String",7
GameTheory,12
"GraphTheory,GraphTraversal,Depth_firstSearch,Tree",49
"DynamicProgramming,GameTheory",12
"Mathematics,PrefixSum",4
"Mathematics,Bruteforcing,Arithmetic",31
Tree,37
"Bruteforcing,Greedy",33
"Mathematics,NumberTheory,PrimalityTest",50
"DataStructures,PriorityQueue",5
"String,Sorting",3
"Implementation,Mathematics,Geometry",55
"String,Greedy",33
"Implementation,String,Sorting",54
"Implementation,Geometry",2
"Mathematics,Sorting",62
"Implementation,Bruteforcing,Backtracking",47
"DataStructures,Greedy,Sorting,PriorityQueue",5
"Greedy,Constructive",33
"DynamicProgramming,Bruteforcing",11
"Mathematics,Ad_hoc",4
"Mathematics,Constructive",4
"Bruteforcing,PrefixSum",11
"Implementation,DynamicProgramming",19
"Implementation,Ad_hoc",6
"Implementation,Mathematics,Simulation,Arithmetic",41
"Recursion,DivideAndConquer",53
"Implementation,GraphTheory,GraphTraversal,Breadth_firstSearch,Simulation",36
"Bruteforcing,Bitmask",67
"String,DataStructures,Stack",18
"Implementation,String,DataStructures,SetMapByHashing",61
"Constructive,Ad_hoc",56
"Mathematics,NumberTheory,Constructive",39
"Implementation,Sorting,Simulation",54
"GraphTheory,TopologicalSorting",14
"Mathematics,Greedy,Sorting",15
"GraphTheory,DynamicProgramming,GraphTraversal,Breadth_firstSearch",1
"BinarySearch,PrefixSum",20
"Implementation,DataStructures,Stack",18
"DynamicProgramming,Sorting",19
"Implementation,Constructive",56
"GraphTheory,Constructive",56
"GraphTheory,DynamicProgramming,Dijkstra's",44
"Greedy,Sorting,Two_pointer",15
"Implementation,Mathematics,Bruteforcing,Arithmetic",41
"GraphTheory,DynamicProgramming,GraphTraversal,Depth_firstSearch",9
"Mathematics,Bitmask",4
"GraphTheory,DynamicProgramming",44
"GraphTheory,DataStructures,GraphTraversal,DisjointSet",28
"Mathematics,String,Arithmetic",7
"Sorting,Two_pointer",46
"GraphTheory,DynamicProgramming,TopologicalSorting",44
"GraphTheory,Bruteforcing,GraphTraversal,Breadth_firstSearch",1
"Mathematics,Bruteforcing,Combinatorics",38
"Mathematics,Tree",37
"Implementation,DataStructures,Simulation,Queue",57
"Implementation,Backtracking",2
"String,DataStructures,SetMapByHashing",61
"Sorting,Geometry",46
"Mathematics,DynamicProgramming,NumberTheory",48
"GraphTheory,GraphTraversal,Breadth_firstSearch,Depth_firstSearch,Tree",49
"Bruteforcing,Sorting",46
